Enviado,Fecha,Tarea,Ruta,Prog. Inicial,Prog. Final,Maquinaria 1,ID1,N°ID1,Maquinaria 2,ID2,N°ID2,Maquinaria 3,ID3,N°ID3,Maquinaria 4,ID4,N°ID4,Maquinaria 5,ID5,N°ID5,Observaciones,Imágenes previas,Imágenes posteriores,km,Combustible (l),Mezcla asfáltica (tn)
si,22/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"279,00","279,50",CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,CAMIÓN,R.O.,18785,,,,,,,,,,"0,50",,
si,22/5/2025,CORTE DE PASTO,093-13,"10,00","12,00",TRACTOR,O.I.,21503,DESMALEZADORA,O.I.,21502,,,,,,,,,,se cargó mal el OI de Desmalezadora. Acceso Cicaré (Camino secundario 093-13: no está registrado en la base de datos del formulario),,,"2,00",,
si,22/5/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"263,00","282,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,,,,"19,00",,
si,22/5/2025,CAMINOS RURALES,093-08,"22,00","24,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,29792,,,,,,,,,,,,,"2,00",,
si,23/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"278,00","279,00",CAMIONETA,R.O.,31556,CAMIÓN,R.O.,41020,,,,,,,,,,,,,"1,00",,
si,23/5/2025,MANTENIMIENTO DE PAVIMENTOS,093-08,"1,50","4,00",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,,,,,,,,,,,,,"2,50",,
si,23/5/2025,MANTENIMIENTO DE PAVIMENTOS,093-13,"0,00","8,00",CAMIONETA,R.O.,37073,,,,,,,,,,,,,Acc. Néstor Kirchner (prolongación Av. Moreno): Camino secundario 093-13 (no está registrado en la base de datos del formulario).,,,"8,00",,
si,28/5/2025,MANTENIMIENTO DE PAVIMENTOS,093-13,"8,00","10,00",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,,,,,,,Acc. Néstor Kirchner (prolongación Av. Moreno): Camino secundario 093-13 (no está registrado en la base de datos del formulario). Reparación de baches.,,,"2,00",,
si,28/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP91,"0,00","9,00",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,,,,,,,Reparación de baches.,,,"9,00",,
si,28/5/2025,CORTE DE PASTO,093-13,"1,00","5,00",TRACTOR,O.I.,21503,DESMALEZADORA,O.I.,21502,,,,,,,,,,Acc. Néstor Kirchner (prolongación Av. Moreno): Camino secundario 093-13 (no está registrado en la base de datos del formulario).,,,"4,00",,
si,29/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"214,00","239,00",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,,,,,,,Reparación de baches.,si,si,"25,00",,
si,29/5/2025,CORTE DE PASTO,093-13,"5,00","11,00",TRACTOR,O.I.,21503,DESMALEZADORA,O.I.,21502,,,,,,,,,,Acc. Néstor Kirchner (prolongación Av. Moreno): Camino secundario 093-13 (no está registrado en la base de datos del formulario).,si,si,"6,00",,
si,29/5/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),093-13,"8,00","10,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,Acc. Néstor Kirchner (prolongación Av. Moreno): Camino secundario 093-13 (no está registrado en la base de datos del formulario). Señalización de curvas.,,,"2,00",,
si,30/5/2025,MANTENIMIENTO DE PAVIMENTOS,093-03,"0,00","7,00",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,CAMIÓN,R.O.,40990,,,,,si,si,"7,00",,
si,30/5/2025,CORTE DE PASTO,093-13,"5,00","11,00",TRACTOR,O.I.,21503,DESMALEZADORA,O.I.,21502,,,,,,,,,,Acc. Néstor Kirchner (prolongación Av. Moreno): Camino secundario 093-13 (no está registrado en la base de datos del formulario).,,,"6,00",,
si,2/6/2025,CORTE DE PASTO,RP51,"282,70","283,00",CAMIONETA,R.O.,37073,,,,,,,,,,,,,"desmalezado manual en rotonda ""La Gallareta""",,,"0,30",,
si,2/6/2025,CAMINOS RURALES,,,,CAMIÓN,R.O.,40990,,,,,,,,,,,,,traslado de casilla desde Forastieri (Roque Perez) a Zona VI Saladillo,,,"0,00",,
si,2/6/2025,MANTENIMIENTO DE PAVIMENTOS,,,,CAMIÓN,R.O.,41020,,,,,,,,,,,,,traslado de material en frío desde Saladillo hacia Lobos.,,,"0,00",,
si,3/6/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"265,00","284,00",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,,,,,,,,,,"19,00",,
si,3/6/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"263,00","263,80",CAMIONETA,R.O.,44808,,,,,,,,,,,,,,,,"0,80",,
si,4/6/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"250,00","265,00",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,,,,,,,,,,"15,00",,
si,4/6/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"255,00","263,80",CAMIONETA,R.O.,29792,,,,,,,,,,,,,,,,"8,80",,
si,4/6/2025,CAMINOS RURALES,,,,CAMIÓN,R.O.,40990,MOTONIVELADORA,O.I.,22108,,,,,,,,,,traslado de Motoniveladora (O.I.: 22108) con carretón (O.I.: 22121)  desde Villa Mol a Saladillo,,,"0,00",,
si,4/6/2025,CORTE DE PASTO,093-05,"0,00","2,00",TRACTOR,R.O.,21715,DESMALEZADORA,O.I.,,,,,,,,,,,Prueba de tractor y cortadora: no funcionó,,,"2,00",,
